id,ticker,name,market,asset_type,ipo_date,delisting_date,status,timestamp,sector,logo_url
10591,8070.SR,Arabian Shield Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:45:49.955988,Financial Services,https://financialmodelingprep.com/image-stock/8070.SR.png
10590,2210.SR,Nama Chemicals Company,4,1,,,Active,2024-06-21 22:45:49.477639,Basic Materials,https://financialmodelingprep.com/image-stock/2210.SR.png
10589,4340.SR,Al Rajhi REIT Fund,4,1,,,Active,2024-06-21 22:45:49.000171,Real Estate,https://financialmodelingprep.com/image-stock/4340.SR.png
10588,2130.SR,Saudi Industrial Development Co.,4,1,,,Active,2024-06-21 22:45:48.515579,Consumer Cyclical,https://financialmodelingprep.com/image-stock/2130.SR.png
10587,4290.SR,Al Khaleej Training and Education Company,4,1,,,Active,2024-06-21 22:45:47.444022,Consumer Defensive,https://financialmodelingprep.com/image-stock/4290.SR.png
10586,4322.SR,Retal Urban Development Company,4,1,,,Active,2024-06-21 22:45:46.963273,Real Estate,https://financialmodelingprep.com/image-stock/4322.SR.png
10585,2280.SR,Almarai Company,4,1,,,Active,2024-06-21 22:45:46.481537,Consumer Defensive,https://financialmodelingprep.com/image-stock/2280.SR.png
10584,2220.SR,National Metal Manufacturing and Casting Co.,4,1,,,Active,2024-06-21 22:45:45.985868,Basic Materials,https://financialmodelingprep.com/image-stock/2220.SR.png
10583,1213.SR,Naseej International Trading Company,4,1,,,Active,2024-06-21 22:45:45.510422,Consumer Cyclical,https://financialmodelingprep.com/image-stock/1213.SR.png
10582,8180.SR,Al Sagr Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:45:45.034217,Financial Services,https://financialmodelingprep.com/image-stock/8180.SR.png
10581,9510.SR,National Building and Marketing Co.,4,1,,,Active,2024-06-21 22:45:44.564121,Basic Materials,https://financialmodelingprep.com/image-stock/9510.SR.png
10580,9545.SR,International Human Resources Company,4,1,,,Active,2024-06-21 22:45:44.082961,Industrials,https://financialmodelingprep.com/image-stock/9545.SR.png
10579,3003.SR,City Cement Company,4,1,,,Active,2024-06-21 22:45:43.591420,Basic Materials,https://financialmodelingprep.com/image-stock/3003.SR.png
10578,2223.SR,Saudi Aramco Base Oil Company - Luberef,4,1,,,Active,2024-06-21 22:45:43.114101,Energy,https://financialmodelingprep.com/image-stock/2223.SR.png
10577,8240.SR,Chubb Arabia Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:45:42.601749,Financial Services,https://financialmodelingprep.com/image-stock/8240.SR.png
10576,1212.SR,Astra Industrial Group Company,4,1,,,Active,2024-06-21 22:45:42.128678,Industrials,https://financialmodelingprep.com/image-stock/1212.SR.png
10575,4004.SR,Dallah Healthcare Company,4,1,,,Active,2024-06-21 22:45:41.642798,Healthcare,https://financialmodelingprep.com/image-stock/4004.SR.png
10574,2050.SR,Savola Group Company,4,1,,,Active,2024-06-21 22:45:41.132107,Consumer Defensive,https://financialmodelingprep.com/image-stock/2050.SR.png
10573,2381.SR,Arabian Drilling Company,4,1,,,Active,2024-06-21 22:45:40.659712,Energy,https://financialmodelingprep.com/image-stock/2381.SR.png
10572,4191.SR,Abdullah Saad Mohammed Abo Moati for Bookstores Company,4,1,,,Active,2024-06-21 22:45:40.187725,Consumer Cyclical,https://financialmodelingprep.com/image-stock/4191.SR.png
10571,8020.SR,Malath Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:45:39.715870,Financial Services,https://financialmodelingprep.com/image-stock/8020.SR.png
10570,4336.SR,Mulkia Gulf Real Estate REIT,4,1,,,Active,2024-06-21 22:45:39.230098,Real Estate,https://financialmodelingprep.com/image-stock/4336.SR.png
10569,4262.SR,Lumi Rental Company,4,1,,,Active,2024-06-21 22:45:38.721351,Industrials,https://financialmodelingprep.com/image-stock/4262.SR.png
10568,2270.SR,Saudia Dairy & Foodstuff Company,4,1,,,Active,2024-06-21 22:45:38.257511,Consumer Defensive,https://financialmodelingprep.com/image-stock/2270.SR.png
